mouse_gene,human_gene
Carhsp1,CARHSP1
Rpl10a,RPL10A
Phldb3,PHLDB3
Daam2,DAAM2
Ptger4,PTGER4
Nfic,NFIC
Apaf1,APAF1
Rhoq,RHOQ
Slc1a3,SLC1A3
Fbxo11,FBXO11
Fam3c,FAM3C
Gsn,GSN
Ucp2,UCP2
Kpnb1,KPNB1
Olfml3,OLFML3
Fnbp1l,FNBP1L
Vps41,VPS41
Slc39a3,SLC39A3
Cnih4,CNIH4
Slc30a9,SLC30A9
Ccdc61,CCDC61
Dennd2b,DENND2B
Eif2b4,EIF2B4
Psmb4,PSMB4
Ttc1,TTC1
Zdhhc7,ZDHHC7
Cfb,CFB
Ppcs,PPCS
Mmachc,MMACHC
Siglecg,SIGLEC11
Nudt12,NUDT12
Ppp4c,PPP4C
Nvl,NVL
Trim65,TRIM65
Nme5,NME5
Capns1,CAPNS1
Nkd2,NKD2
Ccdc43,CCDC43
Klhl5,KLHL5
Nt5c3b,NT5C3B
Paics,PAICS
Ccdc69,CCDC69
Mocs1,MOCS1
Rps14,RPS14
Lin7b,LIN7B
Hnrnpa2b1,HNRNPA2B1
Smpd3,SMPD3
Stat5a,STAT5A
Psma5,PSMA5
Sh3tc2,SH3TC2
Khdc1b,KHDC1
Khdc1c,KHDC1
Khdc1a,KHDC1
Gys1,GYS1
Pi4k2b,PI4K2B
Ring1,RING1
Fabp1,FABP1
Rpl5,RPL5
Npnt,NPNT
Trim38,TRIM38
Prss36,PRSS36
Cxxc5,CXXC5
Skic2,SKIC2
Gnptab,GNPTAB
Bcl2l12,BCL2L12
Mrto4,MRTO4
Septin2,SEPTIN2
Bfar,BFAR
Ank,ANKH
Rassf8,RASSF8
Col16a1,COL16A1
Cct5,CCT5
Irf8,IRF8
Cfi,CFI
Dera,DERA
Msmo1,MSMO1
Aplp1,APLP1
Zswim7,ZSWIM7
Hp,HP
Mthfd2l,MTHFD2L
Pan2,PAN2
Creld1,CRELD1
Stx18,STX18
Clgn,CLGN
Cdca8,CDCA8
Nsg1,NSG1
Ebf1,EBF1
Mtor,MTOR
Ulbp1,RAET1G
Rfpl4b,RFPL4B
Ranbp9,RANBP9
Trmt10a,TRMT10A
Ccnc,CCNC
Gpat3,GPAT3
Trmt1,TRMT1
Tapt1,TAPT1
Itgal,ITGAL
Sh3bp2,SH3BP2
Glcci1,GLCCI1
Abhd14a,ABHD14A
R3hcc1l,R3HCC1L
Ap2s1,AP2S1
Eif2a,EIF2A
Zfp467,ZNF467
Slc35e1,SLC35E1
Tpsb2,TPSB2
Tpsab1,TPSB2
Mia,MIA
B4galnt1,B4GALNT1
Flot2,FLOT2
Zfp780b,ZNF420
Wipi2,WIPI2
Prss33,PRSS33
Nhlh2,NHLH2
Ube2t,UBE2T
Siglece,SIGLEC8
Katnb1,KATNB1
Dhx32,DHX32
Srgap2,SRGAP2
Podxl2,PODXL2
Caprin2,CAPRIN2
Zfp324,ZNF324
Fbln2,FBLN2
Anxa11,ANXA11
Ppp3ca,PPP3CA
Kank2,KANK2
Pex1,PEX1
Folh1,FOLH1
Drc3,DRC3
Rsbn1,RSBN1
Trdn,TRDN
Gabrg1,GABRG1
Sh3bgrl3,SH3BGRL3
Gucy1a1,GUCY1A1
Cenpf,CENPF
Syf2,SYF2
Mrps21,MRPS21
Klc3,KLC3
B4galt4,B4GALT4
AU022252,C1orf50
Tbc1d10b,TBC1D10B
Tmed5,TMED5
Nsl1,NSL1
Atxn1l,ATXN1L
Kctd5,KCTD5
Rps9,RPS9
Rpa2,RPA2
Rexo5,REXO5
Kcna4,KCNA4
Ddx6,DDX6
Fam171a2,FAM171A2
Dtl,DTL
Tnfsf12,TNFSF12
Pdss2,PDSS2
Rilp,RILP
Nnt,NNT
Mcm9,MCM9
Lasp1,LASP1
Ppp2r1a,PPP2R1A
Cep162,CEP162
Ywhae,YWHAE
Nav1,NAV1
Mefv,MEFV
Nsf,NSF
Enpp4,ENPP4
Ehmt2,EHMT2
Pamr1,PAMR1
Nbeal2,NBEAL2
Pgls,PGLS
Creb3l3,CREB3L3
Atp6v0d1,ATP6V0D1
Tfb2m,TFB2M
Snca,SNCA
Fam72a,FAM72D
B3gat3,B3GAT3
Atad3a,ATAD3A
Aldh18a1,ALDH18A1
Cdkn1c,CDKN1C
Lrrfip2,LRRFIP2
Ints1,INTS1
Ppp6r3,PPP6R3
Nprl3,NPRL3
Aldh3a1,ALDH3A1
Hnrnpl,HNRNPL
Phgdh,PHGDH
Pdcd4,PDCD4
Adam17,ADAM17
Frg1,FRG1
Sars2,SARS2
Krt19,KRT19
Trappc11,TRAPPC11
Tsen54,TSEN54
Rsph10b,RSPH10B
Basp1,BASP1
Zfp366,ZNF366
Polk,POLK
Fmnl1,FMNL1
Mpc2,MPC2
C1galt1,C1GALT1
Samd4b,SAMD4B
Bmi1,BMI1
Wif1,WIF1
Unc50,UNC50
Golt1a,GOLT1A
Rpl13a,RPL13A
Enoph1,ENOPH1
Ssbp3,SSBP3
Ppat,PPAT
Tob1,TOB1
Rasa4,RASA4B
Rap1b,RAP1B
Msl1,MSL1
Ift172,IFT172
Spns2,SPNS2
Marchf2,MARCHF2
Gabrb2,GABRB2
Tfec,TFEC
Top3a,TOP3A
Mmp23,MMP23B
Nudt9,NUDT9
Mgmt,MGMT
Tesl1,TES
Tes,TES
Hook2,HOOK2
Crebrf,CREBRF
Wdr59,WDR59
Fance,FANCE
Ppa1,PPA1
Gipc2,GIPC2
Bend5,BEND5
Taf15,TAF15
Dpm3,DPM3
Nucks1,NUCKS1
Slc49a3,SLC49A3
Wasf1,WASF1
Creb5,CREB5
Ppp6r1,PPP6R1
Irf1,IRF1
Sdc3,SDC3
Bbip1,BBIP1
Crocc,CROCC
Lancl2,LANCL2
Ociad1,OCIAD1
Pfkp,PFKP
Rabep1,RABEP1
Traf7,TRAF7
Orai2,ORAI2
Ndst1,NDST1
Gusb,GUSB
Dr1,DR1
Ddx20,DDX20
H2-Eb2,HLA-DRB1
Vgll2,VGLL2
Ddx39b,DDX39B
Ssbp2,SSBP2
Firrm,FIRRM
Bambi,BAMBI
Acvr1,ACVR1
Zfp9,ZNF25
Opalin,OPALIN
Pde1c,PDE1C
Srr,SRR
Nebl,NEBL
Cog1,COG1
Tnfaip8l1,TNFAIP8L1
Siglecg,SIGLEC10
Rnf166,RNF166
Eva1b,EVA1B
Tsr1,TSR1
E4f1,E4F1
Cdk11b,CDK11A
Tapbpl,TAPBPL
Dennd10,DENND10
Trp53i13,TP53I13
Suox,SUOX
Paox,PAOX
Fcgrt,FCGRT
Usp36,USP36
Bcs1l,BCS1L
Eef2kmt,EEF2KMT
Sgms1,SGMS1
Mettl18,METTL18
Spata17,SPATA17
Baiap3,BAIAP3
Tut4,TUT4
Lmo3,LMO3
Bak1,BAK1
Asl,ASL
Slc38a10,SLC38A10
Cd177,CD177
Hmga1b,HMGA1
Dnajc1,DNAJC1
2310011J03Rik,C19orf25
Lpcat3,LPCAT3
Rcan3,RCAN3
Fkrp,FKRP
Hps1,HPS1
Ube2d2a,UBE2D2
Toe1,TOE1
Tlr6,TLR6
Zfp518b,ZNF518B
Trim26,TRIM26
Clspn,CLSPN
Ddit4l,DDIT4L
Ctnna1,CTNNA1
Gpm6a,GPM6A
Plvap,PLVAP
Nosip,NOSIP
Plekha5,PLEKHA5
Rad51c,RAD51C
Xpo1,XPO1
Sftpa1,SFTPA1
Nfkb1,NFKB1
Slc16a3,SLC16A3
Cfap206,CFAP206
Sox13,SOX13
Mog,MOG
Vav1,VAV1
Tstd1,TSTD1
Kif17,KIF17
Styk1,STYK1
Primpol,PRIMPOL
Ehbp1,EHBP1
Cep350,CEP350
Fbrsl1,FBRSL1
Clasrp,CLASRP
Tbc1d32,TBC1D32
Stpg1,STPG1
Nop14,NOP14
Med8,MED8
Spag9,SPAG9
Pgam5,PGAM5
Coa7,COA7
Klhl7,KLHL7
Cnn3,CNN3
Ybx3,YBX3
Rras,RRAS
Ppt2,PPT2
Tlr2,TLR2
Zfy2,ZNF419
Zfy1,ZNF419
Mt3,MT3
Maea,MAEA
Osbpl6,OSBPL6
Mettl26,METTL26
Grm3,GRM3
Cnn1,CNN1
Orc5,ORC5
Extl2,EXTL2
Mob3a,MOB3A
Ptpru,PTPRU
Tsr3,TSR3
Pgap2,PGAP2
Mboat7,MBOAT7
Slc39a5,SLC39A5
Rrad,RRAD
Nrcam,NRCAM
Cdh10,CDH10
Sh3d19,SH3D19
Sult5a1,SULT1A4
Foxo3,FOXO3
Dok3,DOK3
Tpmt,TPMT
Tpm4,TPM4
B4galt7,B4GALT7
Nt5c2,NT5C2
Slf1,SLF1
Gopc,GOPC
E2f4,E2F4
Atp6v0b,ATP6V0B
Bcl2l14,BCL2L14
Micu1,MICU1
Nelfa,NELFA
Fau,FAU
Fgf18,FGF18
Npr3,NPR3
Evi5l,EVI5L
Zfp57,ZFP57
Acd,ACD
Map7,MAP7
Tiprl,TIPRL
Gdpd5,GDPD5
Fam114a1,FAM114A1
Fastkd3,FASTKD3
Pmvk,PMVK
Clptm1l,CLPTM1L
Uck2,UCK2
Naaa,NAAA
Rasal1,RASAL1
Sult5a1,SULT1A1
Slc38a7,SLC38A7
Ank2,ANK2
Egln2,EGLN2
Acot7,ACOT7
Calhm2,CALHM2
Inpp5f,INPP5F
Abca8b,ABCA8
Eci1,ECI1
Dnajc21,DNAJC21
Dmwd,DMWD
Sf3b4,SF3B4
Stxbp5,STXBP5
Nat14,NAT14
Cfap144,CFAP144
Trpm4,TRPM4
Capn9,CAPN9
Zfp771,ZNF771
Rab18,RAB18
Nfat5,NFAT5
Nit1,NIT1
Jmy,JMY
Cfap300,CFAP300
Znrf2,ZNRF2
Birc3,BIRC3
Rasgef1c,RASGEF1C
Crppa,CRPPA
Gpam,GPAM
Adck2,ADCK2
Senp1,SENP1
Ambra1,AMBRA1
Cyp4b1,CYP4B1
Gabrr1,GABRR1
Gtf2h5,GTF2H5
Rab23,RAB23
Pik3cg,PIK3CG
Cd320,CD320
Slc38a1,SLC38A1
Zfp324,ZNF324B
Dmtf1l,DMTF1
Dmtf1,DMTF1
Fbl,FBL
P4ha3,P4HA3
Amfr,AMFR
Ubr2,UBR2
Ap3m1,AP3M1
Tlcd4,TLCD4
Ackr3,ACKR3
Marchf10,MARCHF10
D130043K22Rik,KIAA0319
Cobll1,COBLL1
Slc35c1,SLC35C1
Isl1,ISL1
Tcea3,TCEA3
Anapc15,ANAPC15
Zfp78,ZNF554
Mettl22,METTL22
Ltc4s,LTC4S
Ecsit,ECSIT
Camk2g,CAMK2G
Lpcat1,LPCAT1
Mprip,MPRIP
Senp6,SENP6
Ccnl2,CCNL2
Cnot6,CNOT6
Cfap119,CFAP119
Fabp6,FABP6
Atp2c2,ATP2C2
Ppp2ca,PPP2CA
Szrd1,SZRD1
Adgrl1,ADGRL1
Hspa4,HSPA4
Fbxw9,FBXW9
Tmem100,TMEM100
Il27ra,IL27RA
P4hb,P4HB
Adgrl2,ADGRL2
Stard10,STARD10
Hmg20b,HMG20B
Otx1,OTX1
Usp39,USP39
Rab14,RAB14
Bicdl2,BICDL2
Man2a1,MAN2A1
Eme1,EME1
Borcs8,BORCS8
Pdxdc1,PDXDC1
Sema3c,SEMA3C
Cdc5lrt4,CDC5L
Cdc5lrt5,CDC5L
Cdc5lrt10,CDC5L
Cdc5lrt6,CDC5L
Cdc5lrt7,CDC5L
Cdc5l,CDC5L
Cdc5lrt1,CDC5L
Cdc5lrt8,CDC5L
Cdc5lrt9,CDC5L
Rasip1,RASIP1
Pacsin1,PACSIN1
Neurl4,NEURL4
Phip,PHIP
B3gnt2,B3GNT2
Sik3,SIK3
Ppm1b,PPM1B
Smg9,SMG9
Krt7,KRT7
Myot,MYOT
Bag2,BAG2
Phf10,PHF10
Eln,ELN
Slc30a5,SLC30A5
Cdc37,CDC37
Rffl,RFFL
Irak4,IRAK4
Aars2,AARS2
Loxl3,LOXL3
Pias4,PIAS4
Skp1,SKP1
Klhdc3,KLHDC3
Zbtb7a,ZBTB7A
Mlx,MLX
Kcnk6,KCNK6
R3hdm4,R3HDM4
Dnajc14,DNAJC14
Lcp2,LCP2
Kcnj12,KCNJ12
Rpl6,RPL6
Itgb4,ITGB4
Pak4,PAK4
Marchf3,MARCHF3
Msh3,MSH3
Capn13,CAPN13
Ddb1,DDB1
Pdpk1,PDPK1
Popdc3,POPDC3
Ager,AGER
Dok1,DOK1
Klhl41,KLHL41
Bzw1,BZW1
Lair1,LAIR1
Skic3,SKIC3
Axin1,AXIN1
Commd3,COMMD3
C1s1,C1S
C1s2,C1S
Tspan14,TSPAN14
Lyrm1,LYRM1
Zfp11,ZNF345
Man2b1,MAN2B1
Sntb2,SNTB2
Cmc2,CMC2
Lyg1,LYG1
Ube2f,UBE2F
Cdh8,CDH8
Fchsd1,FCHSD1
Fuca2,FUCA2
Dock7,DOCK7
Git2,GIT2
L3mbtl3,L3MBTL3
Tmem219,TMEM219
Cenpn,CENPN
Pla2g12b,PLA2G12B
Galnt10,GALNT10
Gbf1,GBF1
Ssbp4,SSBP4
Zfp821,ZNF821
Atg10,ATG10
Uqcc2,UQCC2
Pak1ip1,PAK1IP1
Fam120b,FAM120B
Ankrd27,ANKRD27
Psd2,PSD2
Hmgcr,HMGCR
Rhot2,RHOT2
Osr1,OSR1
Lypd6,LYPD6
Dll1,DLL1
Rbm5,RBM5
Tssc4,TSSC4
Msh2,MSH2
Nup88,NUP88
Fyn,FYN
Tkfc,TKFC
Itgax,ITGAX
Cstf3,CSTF3
Cntnap4,CNTNAP4
Ano4,ANO4
Mrpl23,MRPL23
Sbk2,SBK2
Arhgap45,ARHGAP45
Arcn1,ARCN1
Kif1c,KIF1C
Cast,CAST
Dhodh,DHODH
Frmd8,FRMD8
Pomgnt2,POMGNT2
Cbfb,CBFB
Nme9,NME9
Fggy,FGGY
Zdhhc5,ZDHHC5
Phkg2,PHKG2
A2m,A2M
Itih4,ITIH4
Syt3,SYT3
Bad,BAD
Wdpcp,WDPCP
Fstl3,FSTL3
Cyb5r2,CYB5R2
Kars1,KARS1
Vcl,VCL
Aldh3a2,ALDH3A2
Akap8l,AKAP8L
Calm2,CALM2
Abcc1,ABCC1
Cavin3,CAVIN3
Gpr137,GPR137
Pyroxd2,PYROXD2
BC005537,C6orf62
Zc3h15,ZC3H15
Kat6b,KAT6B
Robo4,ROBO4
Calb2,CALB2
Camk2n1,CAMK2N1
Vsnl1,VSNL1
Exo5,EXO5
Adamtsl5,ADAMTSL5
Ipcef1,IPCEF1
Enpep,ENPEP
Aspscr1,ASPSCR1
Tnnt1,TNNT1
Palmd,PALMD
Xpo6,XPO6
Gmeb1,GMEB1
C1qtnf4,C1QTNF4
Cers6,CERS6
Naa40,NAA40
Thnsl2,THNSL2
Cdhr5,CDHR5
Gpr162,GPR162
Gmcl1,GMCL1
Rab3b,RAB3B
Prdm1,PRDM1
Mfsd10,MFSD10
Plekhh3,PLEKHH3
Wnt2b,WNT2B
Arid2,ARID2
Cnnm3,CNNM3
Rps6ka2,RPS6KA2
Ints11,INTS11
Inca1,INCA1
Zfp174,ZNF174
Tradd,TRADD
Slc4a10,SLC4A10
Csrnp2,CSRNP2
Cog4,COG4
Mmp19,MMP19
Trp53,TP53
Slc2a9,SLC2A9
Strap,STRAP
Rfc1,RFC1
Xrcc5,XRCC5
Paf1,PAF1
Gpr182,GPR182
Pa2g4,PA2G4
Gmpr,GMPR
Tmem135,TMEM135
Edrf1,EDRF1
Hsbp1,HSBP1
Nlrc5,NLRC5
Polr2e,POLR2E
Osbpl11,OSBPL11
Npy1r,NPY1R
Grk4,GRK4
Btnl9,BTNL9
Lima1,LIMA1
Dph3,DPH3
Wdr43,WDR43
Oxnad1,OXNAD1
Noc3l,NOC3L
Mettl15,METTL15
Lhfpl2,LHFPL2
Cers4,CERS4
Stx3,STX3
Sult1c2,SULT1C2
Myoz1,MYOZ1
Nudcd2,NUDCD2
Nup155,NUP155
Smc3,SMC3
Tbck,TBCK
Cops7a,COPS7A
Zfyve9,ZFYVE9
Fhip1b,FHIP1B
Semp2l1,SENP2
Semp2l2b,SENP2
Senp2,SENP2
Semp2l2a,SENP2
Fbxl8,FBXL8
Znrf1,ZNRF1
Polr2g,POLR2G
Vps35l,VPS35L
Sgip1,SGIP1
Cat,CAT
Mcmbp,MCMBP
Lemd2,LEMD2
Slc25a28,SLC25A28
Riok1,RIOK1
Liph,LIPH
Itgb1,ITGB1
Npy5r,NPY5R
Ctnnd1,CTNND1
Nmu,NMU
Brix1,BRIX1
Apod,APOD
Ripk1,RIPK1
Topbp1,TOPBP1
Dusp14,DUSP14
Tmem63b,TMEM63B
Uimc1,UIMC1
Uba6,UBA6
Itgae,ITGAE
Slc25a16,SLC25A16
Pbld1,PBLD
Pbld2,PBLD
Thbs4,THBS4
Lars2,LARS2
Bhlhe41,BHLHE41
Chd4,CHD4
Fbxo4,FBXO4
Rab5c,RAB5C
Bms1,BMS1
Tnfrsf1b,TNFRSF1B
Il15,IL15
Unc5a,UNC5A
Has1,HAS1
Homer1,HOMER1
Emp3,EMP3
Slc29a1,SLC29A1
Klhl12,KLHL12
Lars1,LARS1
Foxk2,FOXK2
Prpf18,PRPF18
2310022A10Rik,C19orf47
Msto1,MSTO1
Cpsf3,CPSF3
St6galnac1,ST6GALNAC1
Nomo1,NOMO1
Ap3d1,AP3D1
Acox1,ACOX1
Spsb4,SPSB4
Snx25,SNX25
Acy1,ACY1
Ptpn22,PTPN22
Slc13a5,SLC13A5
Ctbp2,CTBP2
Map2k3,MAP2K3
Ccdc102a,CCDC102A
Cfap97,CFAP97
Rpl34,RPL34
Parn,PARN
Palld,PALLD
Ccdc57,CCDC57
Slc2a5,SLC2A5
Ogfod3,OGFOD3
Hhip,HHIP
Cc2d1b,CC2D1B
Spint2,SPINT2
Pdlim5,PDLIM5
Itga2b,ITGA2B
Hk3,HK3
Zfp652,ZNF652
Zfp146,ZNF146
Spag7,SPAG7
Klhdc8a,KLHDC8A
Palm,PALM
Hmgxb3,HMGXB3
Zbtb4,ZBTB4
Utp4,UTP4
Mpnd,MPND
Rasl10b,RASL10B
Daw1,DAW1
Hexd,HEXD
Golga4,GOLGA4
Sting1,STING1
Uchl5,UCHL5
Siglece,SIGLEC7
Il6st,IL6ST
Aldoc,ALDOC
Rtbdn,RTBDN
Dnai7,DNAI7
Bin1,BIN1
Nherf2,NHERF2
Dhx34,DHX34
Ltbr,LTBR
Fam8a1,FAM8A1
Pnkp,PNKP
Carmil1,CARMIL1
Cblb,CBLB
Mvd,MVD
Htra3,HTRA3
Sh3pxd2b,SH3PXD2B
Rab40b,RAB40B
Pdik1l,PDIK1L
Lrrn2,LRRN2
Slc2a13,SLC2A13
Cybc1,CYBC1
Drgx,DRGX
Cplx2,CPLX2
Clcc1,CLCC1
Dnajb12,DNAJB12
Larp7-ps,LARP7
Larp7,LARP7
Usp15,USP15
Pla2g15,PLA2G15
Itga8,ITGA8
Nr3c1,NR3C1
Mrpl14,MRPL14
Hnrnph3,HNRNPH3
Nubp1,NUBP1
C4a,C4A
C4b,C4A
Lin54,LIN54
5730455P16Rik,C17orf75
Igsf8,IGSF8
Tom1l2,TOM1L2
Vipr1,VIPR1
Ogdhl,OGDHL
Tpsb2,TPSAB1
Tpsab1,TPSAB1
Slc5a8,SLC5A8
Dynll1,DYNLL1
Tbl3,TBL3
Ercc2,ERCC2
Aadat,AADAT
Tafa2,TAFA2
Inpp5a,INPP5A
Cop1,COP1
Spsb2,SPSB2
C7,C7
Srsf9,SRSF9
Myf6,MYF6
Zcchc10,ZCCHC10
Metap1,METAP1
Zfp605,ZNF605
Cacna1d,CACNA1D
Gramd2b,GRAMD2B
Slc16a7,SLC16A7
5730480H06Rik,PACRGL
Mfsd13a,MFSD13A
Cyp4f15,CYP4F2
Cyp4f40,CYP4F2
Cyp4f14,CYP4F2
Coq9,COQ9
Tspan31,TSPAN31
Septin8,SEPTIN8
Dus1l,DUS1L
Emp1,EMP1
Snn,SNN
Ffar3,FFAR3
Slc5a11,SLC5A11
Ccdc91,CCDC91
Cutc,CUTC
Washc2,WASHC2C
Nup133,NUP133
Rundc3a,RUNDC3A
Plk2,PLK2
Rgs11,RGS11
Gabbr1,GABBR1
Aldh16a1,ALDH16A1
Tubg1,TUBG1
Samd14,SAMD14
Etf1,ETF1
Pccb,PCCB
Pigr,PIGR
Sult5a1,SULT1A3
C1qtnf1,C1QTNF1
Kctd15,KCTD15
Zfp454,ZNF454
Eif2b1,EIF2B1
Oxct1,OXCT1
Wipf2,WIPF2
Fkbp4,FKBP4
Dnaaf8,DNAAF8
Lpar3,LPAR3
Sae1,SAE1
Ctcf,CTCF
Gpsm2,GPSM2
Dvl2,DVL2
Glt1d1,GLT1D1
Pik3r2,PIK3R2
Anxa5,ANXA5
Reps1,REPS1
Pex5,PEX5
Nup93,NUP93
Fsd1,FSD1
Dhrs11,DHRS11
Cept1,CEPT1
Pecam1,PECAM1
Ushbp1,USHBP1
Mobp,MOBP
Cfd,CFD
Prelp,PRELP
Timm50,TIMM50
Cep85,CEP85
Smarce1,SMARCE1
Ppp2r3a,PPP2R3A
Wdr18,WDR18
Nap1l4,NAP1L4
Dmap1,DMAP1
Cnep1r1,CNEP1R1
Hsd17b11,HSD17B11
Dync1li1,DYNC1LI1
Dgkq,DGKQ
Nsmce1,NSMCE1
Tor1aip2,TOR1AIP2
Zfp61,ZNF226
Snrk,SNRK
Exoc1,EXOC1
Cdr2,CDR2
Zdhhc23,ZDHHC23
S100a4,S100A4
Nomo1,NOMO2
Ccr3,CCR3
Lmln,LMLN
Grem2,GREM2
Fmo5,FMO5
Cope,COPE
Stat5b,STAT5B
Pik3r4,PIK3R4
Ptpre,PTPRE
Rara,RARA
Ndrg4,NDRG4
Katna1,KATNA1
Rpusd3,RPUSD3
Ssx2ip,SSX2IP
Atp11b,ATP11B
Mthfd1l,MTHFD1L
Slc39a12,SLC39A12
Tbc1d9,TBC1D9
Hif1an,HIF1AN
Stk19,WHR1
Papss1,PAPSS1
Dgke,DGKE
Tubgcp2,TUBGCP2
Pi16,PI16
Stx8,STX8
Anks1,ANKS1A
Ccdc13,CCDC13
Slfn8,SLFN11
Slfn9,SLFN11
Slfn10,SLFN11
Rassf1,RASSF1
Fam193a,FAM193A
Arhgap22,ARHGAP22
Gp9,GP9
Shmt1,SHMT1
Dhx30,DHX30
Cap1,CAP1
Atl3,ATL3
Rdx,RDX
Rufy2,RUFY2
Coro1c,CORO1C
Dxo,DXO
Cyp4a30b,CYP4F12
Cyp4a10,CYP4F12
Cyp4a32,CYP4F12
Cyp4a31,CYP4F12
Zfp511,ZNF511
Slc35b3,SLC35B3
Mkx,MKX
Slc43a3,SLC43A3
Ier2,IER2
Pik3cb,PIK3CB
Yme1l1,YME1L1
Tmem91,TMEM91
Qrfprl,QRFPR
Qrfpr,QRFPR
Ap1ar,AP1AR
Mybpc2,MYBPC2
Pds5a,PDS5A
Alg1,ALG1
Larp4,LARP4
Smim8,SMIM8
AI467606,C16orf54
Cep20,CEP20
Adgrg6,ADGRG6
Mastl,MASTL
Prmt1,PRMT1
Rusf1,RUSF1
Plcl2,PLCL2
Tmcc1,TMCC1
Eno4,ENO4
Dydc2,DYDC2
Bmerb1,BMERB1
Upf2,UPF2
Scnn1b,SCNN1B
Dhx16,DHX16
Pik3ca,PIK3CA
Cd3g,CD3G
Clpb,CLPB
Hoga1,HOGA1
Scgn,SCGN
Sec23ip,SEC23IP
2310061I04Rik,C6orf136
Tgfb1,TGFB1
Ccdc51,CCDC51
Khdrbs2,KHDRBS2
Hrc,HRC
Rgl2,RGL2
Rpain,RPAIN
Eif3c,EIF3CL
Hgd,HGD
Rcc1l,RCC1L
Rnf41,RNF41
Ankrd24,ANKRD24
Ift140,IFT140
Scpep1,SCPEP1
Hk1,HK1
Coro1b,CORO1B
Usp53,USP53
Gna12,GNA12
Hdgfl2,HDGFL2
Ptges3,PTGES3
Slc29a4,SLC29A4
Meltf,MELTF
Pafah2,PAFAH2
Pgcka1,PGCKA1
Amz2,AMZ2
Slc9b2,SLC9B2
Slc13a1,SLC13A1
Rnf123,RNF123
Tspan18,TSPAN18
Telo2,TELO2
Get4,GET4
Zfp641,ZNF641
Mrap2,MRAP2
Cdk18,CDK18
Bach2,BACH2
Nostrin,NOSTRIN
Smarcd2,SMARCD2
Nabp2,NABP2
Amz1,AMZ1
Siglece,SIGLEC9
Smarcad1,SMARCAD1
Brpf3,BRPF3
Asrgl1,ASRGL1
Plin4,PLIN4
Gimap8,GIMAP8
Gars1,GARS1
Cntn1,CNTN1
Igflr1,IGFLR1
Jhy,JHY
Slc43a2,SLC43A2
Cul2,CUL2
Pdgfd,PDGFD
Hyal4,HYAL4
Rbm7,RBM7
Fis1,FIS1
Anapc4,ANAPC4
Adgrf5,ADGRF5
Tsen34,TSEN34
Trp53i11,TP53I11
Nup42,NUP42
Ppm1g,PPM1G
Atxn2,ATXN2
Pip5k1c,PIP5K1C
Sgca,SGCA
Septin10,SEPTIN10
Scin,SCIN
Neto2,NETO2
Dhcr7,DHCR7
Gimap7,GIMAP7
F11r,F11R
Steap1,STEAP1
N4bp1,N4BP1
Calu,CALU
Slc39a11,SLC39A11
Vps9d1,VPS9D1
Sp110,SP110
Trmt1l,TRMT1L
Adam11,ADAM11
Mboat1,MBOAT1
Nupr1,NUPR1
Bckdha,BCKDHA
Hsf4,HSF4
Epb41l2,EPB41L2
Traf5,TRAF5
Echs1,ECHS1
Prom1,PROM1
Cep112,CEP112
Rasgrp2,RASGRP2
Ing5,ING5
Klk12,KLK12
Pcgf6,PCGF6
Impdh1,IMPDH1
Plk3,PLK3
Slc7a6,SLC7A6
1700019D03Rik,C2orf88
Eef2,EEF2
Vps8,VPS8
Plxdc2,PLXDC2
Cflar,CFLAR
Gstm7,GSTM2
Spn,SPN
Mlkl,MLKL
Dffa,DFFA
Hoxb6,HOXB6
Stn1,STN1
Doc2b,DOC2B
Dnaaf1,DNAAF1
Usp22,USP22
Lad1,LAD1
Jsrp1,JSRP1
Zfp655,ZNF655
Zfp667,ZNF667
Myh11,MYH11
Cnnm2,CNNM2
Tbc1d12,TBC1D12
Rcor3,RCOR3
Spata20,SPATA20
Acaa1b,ACAA1
Acaa1a,ACAA1
Prrg2,PRRG2
Mms19,MMS19
Cops6,COPS6
Ceacam15,CEACAM21
Ceacam9,CEACAM21
Thy1,THY1
Clk1,CLK1
Nr1h2,NR1H2
Kdm2a,KDM2A
Slc45a3,SLC45A3
Rarg,RARG
Klf7,KLF7
Scrn1,SCRN1
Tsen15,TSEN15
Cxcr2,CXCR2
Nod1,NOD1
Dynlt4,DYNLT4
Kansl3,KANSL3
Clns1a,CLNS1A
Rnf2,RNF2
Fstl1,FSTL1
Adipor1,ADIPOR1
Mtnap1,MTNAP1
Rpn1,RPN1
Clec4d,CLEC4D
Hibadh,HIBADH
Rfx4,RFX4
Aatf,AATF
Tmem144,TMEM144
Gmppb,GMPPB
Pak1,PAK1
Mafg,MAFG
Mfsd2a,MFSD2A
Nkiras2,NKIRAS2
Pdgfa,PDGFA
Os9,OS9
Rsph10b,RSPH10B2
Zfp273,ZNF429
Zfp87,ZNF429
Zfp85,ZNF429
Rslcan18,ZNF429
Zfp429,ZNF429
Zfp708,ZNF429
Rsl1,ZNF429
Zfp456,ZNF429
Zfp493,ZNF429
Zfp58,ZNF429
Zfp874a,ZNF429
Zfp874b,ZNF429
Zfp455,ZNF429
Rpl28,RPL28
Tmem235,TMEM235
Ciao1,CIAO1
Igf2bp2,IGF2BP2
Ace,ACE
Lnpk,LNPK
Mindy1,MINDY1
Ccm2,CCM2
Ptgir,PTGIR
Zfp78,ZNF491
Napsa,NAPSA
